filename,m,n,k,fitness,used_budget,completed,valid,execution_time(s)
scpa5.txt,300,3000,200,1286,27,False,False,3600.00
scp45.txt,200,1000,133,424,29,False,False,3600.00
scp410.txt,200,1000,133,423,29,False,False,3600.00
scpc4.txt,400,4000,266,1640,27,False,False,3600.00
scpc5.txt,400,4000,266,1698,27,False,False,3600.00
scp41.txt,200,1000,133,456,29,False,False,3600.00
scp49.txt,200,1000,133,452,29,False,False,3600.00
scpc1.txt,400,4000,266,1745,27,False,False,3600.00
scp46.txt,200,1000,133,480,29,False,False,3600.00
scpb2.txt,300,3000,200,2223,26,False,False,3600.00
scp47.txt,200,1000,133,450,29,False,False,3600.00
scp44.txt,200,1000,133,461,29,False,False,3600.00
scpc3.txt,400,4000,266,1644,27,False,False,3600.00
scpb3.txt,300,3000,200,2186,26,False,False,3600.00
scpa4.txt,300,3000,200,1268,27,False,False,3600.00
scp42.txt,200,1000,133,439,29,False,False,3600.00
scpb1.txt,300,3000,200,2191,26,False,False,3600.00
scpc2.txt,400,4000,266,1700,27,False,False,3600.00
scpb5.txt,300,3000,200,2217,26,False,False,3600.00
scpa2.txt,300,3000,200,1241,27,False,False,3600.00
scpa3.txt,300,3000,200,1277,27,False,False,3600.00
scp43.txt,200,1000,133,435,29,False,False,3600.00
scpb4.txt,300,3000,200,2238,26,False,False,3600.00
scpa1.txt,300,3000,200,1264,27,False,False,3600.00
scp48.txt,200,1000,133,434,29,False,False,3600.00

